name,location,latitude,longitude,exec,cost,timespan,project_id,goal,proposal_date
"Uttar Khaishayir Community Park","Daudpur",23.61931959,90.50365683,LGD,2,1,prop3072,Extending recreational facilities to the neighborhood,2022-12-20
"Fazlul Rahman Memorial Government Primary School","Tarabo",23.71440803,90.51711917,MOEDU,3,3,prop7106,Extending education facilities to the neighborhood,2022-12-20
"Fazlul Rahman Memorial Community Park","Tarabo",23.71440803,90.51711917,LGD,1,1,prop5730,Extending recreational facilities to the neighborhood,2022-12-20
"No. 79 Barpa Government Primary School","Tarabo",23.7469498,90.5417278,MOEDU,4,3,prop7655,Extending education facilities to the neighborhood,2022-12-20
"No. 79 Barpa Community Park","Tarabo",23.7469498,90.5417278,LGD,2,1,prop2195,Extending recreational facilities to the neighborhood,2022-12-20
"No. 74 Mashabo General Hospital","Tarabo",23.7488533,90.553965,LGD,25,5,prop1114,Extending healthcare facilities to the neighborhood,2022-12-20
"No. 73 Kornogop Government Primary School","Tarabo",23.7581847,90.5380161,MOEDU,3,3,prop8384,Extending education facilities to the neighborhood,2022-12-20
"No. 73 Kornogop General Hospital","Tarabo",23.7581847,90.5380161,LGD,19,5,prop4513,Extending healthcare facilities to the neighborhood,2022-12-20
"No. 73 Kornogop Community Park","Tarabo",23.7581847,90.5380161,LGD,1,1,prop4527,Extending recreational facilities to the neighborhood,2022-12-20
"No. 56 Horgaon Government Primary School","Golakandail",23.7764662,90.5933341,MOEDU,1,3,prop5719,Extending education facilities to the neighborhood,2022-12-20
"No. 56 Horgaon General Hospital","Golakandail",23.7764662,90.5933341,LGD,6,5,prop5391,Extending healthcare facilities to the neighborhood,2022-12-20
"Aukhabo Government Primary School","Bhulta",23.7772222,90.5621962,MOEDU,2,3,prop8439,Extending education facilities to the neighborhood,2022-12-20
"Aukhabo General Hospital","Bhulta",23.7772222,90.5621962,LGD,10,5,prop9756,Extending healthcare facilities to the neighborhood,2022-12-20
"Aukhabo Community Park","Bhulta",23.7772222,90.5621962,LGD,2,1,prop2763,Extending recreational facilities to the neighborhood,2022-12-20
"No. 28 Kamshire Government Primary School","Kayetpara",23.7824021,90.4800507,MOEDU,5,3,prop2863,Extending education facilities to the neighborhood,2022-12-20
